"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Trivy scan of the repository filesystem for HIGH and CRITICAL CVEs.","","Filesystem Vulnerability Scan (Trivy)","pdf-to-word-service","","failed","","a27295a","Security Scans","",""
"Scan for hardcoded secrets and credentials in the repository.","","Secret Scanning (Gitleaks)","pdf-to-word-service","","passed","","a27295a","Security Scans","",""
"npm audit scan for known vulnerabilities in project dependencies.","","Dependency Audit (npm audit)","pdf-to-word-service","","failed","","a27295a","Security Scans","",""
"Hadolint static analysis of the project Dockerfile.","","Dockerfile Lint (Hadolint)","pdf-to-word-service","","failed","","a27295a","Security Scans","",""
"Grype scan of the built Docker image for HIGH and CRITICAL CVEs.","","Grype Docker Image Vulnerability Scan","pdf-to-word-service","","skipped","","a27295a","Security Scans","",""
"Trivy scan of the built Docker image for HIGH and CRITICAL CVEs.","","Docker Image Vulnerability Scan (Trivy)","pdf-to-word-service","","skipped","","a27295a","Security Scans","",""
"OWASP Dependency Check cross-referenced against the NVD database. Fails on CVSS >= 7.","","OWASP Dependency Check","pdf-to-word-service","","skipped","","a27295a","Security Scans","",""
