"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Hadolint static analysis of the project Dockerfile.","","Dockerfile Lint (Hadolint)","logout-service","","failed","","007c36b","Security Scans","",""
"Trivy scan of the repository filesystem for HIGH and CRITICAL CVEs.","","Filesystem Vulnerability Scan (Trivy)","logout-service","","passed","","007c36b","Security Scans","",""
"OWASP Dependency Check cross-referenced against the NVD database. Fails on CVSS >= 7.","","OWASP Dependency Check","logout-service","","passed","","007c36b","Security Scans","",""
"Trivy scan of the built Docker image for HIGH and CRITICAL CVEs.","","Docker Image Vulnerability Scan (Trivy)","logout-service","","passed","","007c36b","Security Scans","",""
"Scan for hardcoded secrets and credentials in the repository.","","Secret Scanning (Gitleaks)","logout-service","","passed","","007c36b","Security Scans","",""
"npm audit scan for known vulnerabilities in project dependencies.","","Dependency Audit (npm audit)","logout-service","","passed","","007c36b","Security Scans","",""
"Grype scan of the built Docker image for HIGH and CRITICAL CVEs.","","Grype Docker Image Vulnerability Scan","logout-service","","passed","","007c36b","Security Scans","",""
