"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"npm audit scan for known vulnerabilities in project dependencies.","","Dependency Audit (npm audit)","pdf-compressor-service","","passed","","b8abd8d","Security Scans","",""
"Grype scan of the built Docker image for HIGH and CRITICAL CVEs.","","Grype Docker Image Vulnerability Scan","pdf-compressor-service","","failed","","b8abd8d","Security Scans","",""
"Hadolint static analysis of the project Dockerfile.","","Dockerfile Lint (Hadolint)","pdf-compressor-service","","failed","","b8abd8d","Security Scans","",""
"OWASP Dependency Check cross-referenced against the NVD database. Fails on CVSS >= 7.","","OWASP Dependency Check","pdf-compressor-service","","passed","","b8abd8d","Security Scans","",""
"Trivy scan of the repository filesystem for HIGH and CRITICAL CVEs.","","Filesystem Vulnerability Scan (Trivy)","pdf-compressor-service","","passed","","b8abd8d","Security Scans","",""
"Scan for hardcoded secrets and credentials in the repository.","","Secret Scanning (Gitleaks)","pdf-compressor-service","","passed","","b8abd8d","Security Scans","",""
"Trivy scan of the built Docker image for HIGH and CRITICAL CVEs.","","Docker Image Vulnerability Scan (Trivy)","pdf-compressor-service","","passed","","b8abd8d","Security Scans","",""
