"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Trivy scan of the built Docker image for HIGH and CRITICAL CVEs.","","Docker Image Vulnerability Scan (Trivy)","profile-service","","passed","","8854dff","Security Scans","",""
"Grype scan of the built Docker image for HIGH and CRITICAL CVEs.","","Grype Docker Image Vulnerability Scan","profile-service","","passed","","8854dff","Security Scans","",""
"Scan for hardcoded secrets and credentials in the repository.","","Secret Scanning (Gitleaks)","profile-service","","passed","","8854dff","Security Scans","",""
"npm audit scan for known vulnerabilities in project dependencies.","","Dependency Audit (npm audit)","profile-service","","passed","","8854dff","Security Scans","",""
"Hadolint static analysis of the project Dockerfile.","","Dockerfile Lint (Hadolint)","profile-service","","failed","","8854dff","Security Scans","",""
"OWASP Dependency Check cross-referenced against the NVD database. Fails on CVSS >= 7.","","OWASP Dependency Check","profile-service","","passed","","8854dff","Security Scans","",""
"Trivy scan of the repository filesystem for HIGH and CRITICAL CVEs.","","Filesystem Vulnerability Scan (Trivy)","profile-service","","passed","","8854dff","Security Scans","",""
