"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Grype scan of the built Docker image for HIGH and CRITICAL CVEs.","","Grype Docker Image Vulnerability Scan","edit-pdf-service","","failed","","7c3d276","Security Scans","",""
"Scan for hardcoded secrets and credentials in the repository.","","Secret Scanning (Gitleaks)","edit-pdf-service","","passed","","7c3d276","Security Scans","",""
"Hadolint static analysis of the project Dockerfile.","","Dockerfile Lint (Hadolint)","edit-pdf-service","","failed","","7c3d276","Security Scans","",""
"npm audit scan for known vulnerabilities in project dependencies.","","Dependency Audit (npm audit)","edit-pdf-service","","passed","","7c3d276","Security Scans","",""
"OWASP Dependency Check cross-referenced against the NVD database. Fails on CVSS >= 7.","","OWASP Dependency Check","edit-pdf-service","","passed","","7c3d276","Security Scans","",""
"Trivy scan of the built Docker image for HIGH and CRITICAL CVEs.","","Docker Image Vulnerability Scan (Trivy)","edit-pdf-service","","passed","","7c3d276","Security Scans","",""
"Trivy scan of the repository filesystem for HIGH and CRITICAL CVEs.","","Filesystem Vulnerability Scan (Trivy)","edit-pdf-service","","passed","","7c3d276","Security Scans","",""
