"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"npm audit scan for known vulnerabilities in project dependencies.","","Dependency Audit (npm audit)","account-service","","passed","","327381d","Security Scans","",""
"Hadolint static analysis of the project Dockerfile.","","Dockerfile Lint (Hadolint)","account-service","","failed","","327381d","Security Scans","",""
"OWASP Dependency Check cross-referenced against the NVD database. Fails on CVSS >= 7.","","OWASP Dependency Check","account-service","","passed","","327381d","Security Scans","",""
"Scan for hardcoded secrets and credentials in the repository.","","Secret Scanning (Gitleaks)","account-service","","passed","","327381d","Security Scans","",""
"Trivy scan of the built Docker image for HIGH and CRITICAL CVEs.","","Docker Image Vulnerability Scan (Trivy)","account-service","","passed","","327381d","Security Scans","",""
"Trivy scan of the repository filesystem for HIGH and CRITICAL CVEs.","","Filesystem Vulnerability Scan (Trivy)","account-service","","passed","","327381d","Security Scans","",""
"Grype scan of the built Docker image for HIGH and CRITICAL CVEs.","","Grype Docker Image Vulnerability Scan","account-service","","failed","","327381d","Security Scans","",""
