"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Scan for hardcoded secrets and credentials in the repository.","","Secret Scanning (Gitleaks)","sheetlab-service","","passed","","e742016","Security Scans","",""
"Trivy scan of the repository filesystem for HIGH and CRITICAL CVEs.","","Filesystem Vulnerability Scan (Trivy)","sheetlab-service","","passed","","e742016","Security Scans","",""
"Grype scan of the built Docker image for HIGH and CRITICAL CVEs.","","Grype Docker Image Vulnerability Scan","sheetlab-service","","passed","","e742016","Security Scans","",""
"OWASP Dependency Check cross-referenced against the NVD database. Fails on CVSS >= 7.","","OWASP Dependency Check","sheetlab-service","","passed","","e742016","Security Scans","",""
"Trivy scan of the built Docker image for HIGH and CRITICAL CVEs.","","Docker Image Vulnerability Scan (Trivy)","sheetlab-service","","passed","","e742016","Security Scans","",""
"npm audit scan for known vulnerabilities in project dependencies.","","Dependency Audit (npm audit)","sheetlab-service","","passed","","e742016","Security Scans","",""
"Hadolint static analysis of the project Dockerfile.","","Dockerfile Lint (Hadolint)","sheetlab-service","","failed","","e742016","Security Scans","",""
